,City,Country,Date,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed
0,Ushuaia,AR,1549040400,-54.81,-68.31,50.0,53,40,25.28
1,Fairbanks,US,1549040280,64.84,-147.72,-19.13,76,1,3.36
2,Junction City,US,1549040160,39.03,-96.83,41.54,65,1,6.4
3,Biak,ID,1549041264,-0.91,122.88,79.58,95,68,2.04
4,Kodiak,US,1549040100,39.95,-94.76,24.8,35,1,9.17
5,Bam,IR,1549041264,29.11,58.36,41.69,74,0,1.7
6,Pitiquito,MX,1549041264,30.68,-112.05,63.29,58,12,4.38
7,Chokurdakh,RU,1549041265,70.62,147.9,-28.83,0,56,7.85
8,Lebu,ET,1549036800,8.96,38.73,66.2,19,0,9.17
9,Chara,GR,1549039800,39.42,22.43,51.8,66,20,2.93
10,Broken Hill,AU,1549036800,-31.97,141.45,75.2,14,8,8.05
11,Bredasdorp,ZA,1549040400,-34.53,20.04,71.6,64,80,20.8
12,Atuona,PF,1549041266,-9.8,-139.03,81.02,100,36,22.95
13,Kapaa,US,1549040640,22.08,-159.32,69.98,90,90,19.46
14,Kibala,TD,1549036800,9.11,18.35,100.4,14,0,6.93
15,Albany,US,1549040220,42.65,-73.75,12.92,43,75,4.7
16,Saint-Philippe,CA,1549040100,45.36,-73.48,12.02,34,1,5.82
17,Dikson,RU,1549041268,73.51,80.55,-15.28,71,8,10.54
18,Ponta Delgada,PT,1549038600,37.73,-25.67,59.0,58,20,5.82
19,Hobart,AU,1549038600,-42.88,147.33,53.6,76,20,8.05
20,Kavaratti,IN,1549041269,10.57,72.64,82.96,99,0,10.2
21,Port Augusta,AU,1549036800,-32.49,137.76,68.0,68,0,3.36
22,Necochea,AR,1549041269,-38.55,-58.74,73.73,85,0,5.61
23,Arraial do Cabo,BR,1549036800,-22.97,-42.02,93.2,58,0,24.16
24,Te Anau,NZ,1549041270,-45.41,167.72,43.76,86,64,3.38
25,Victoria,BN,1549038600,5.28,115.24,80.6,88,75,8.05
26,Hithadhoo,MV,1549041271,-0.6,73.08,83.41,100,92,13.78
27,Saskylakh,RU,1549041271,71.97,114.09,-31.3,0,20,8.86
28,Lorengau,PG,1549041272,-2.02,147.27,80.93,100,64,9.53
29,Kjollefjord,NO,1549039800,70.95,27.35,23.0,67,75,19.46
30,Rikitea,PF,1549041272,-23.12,-134.97,81.2,97,36,7.18
31,Quisqueya,DO,1549040400,18.55,-69.41,86.0,62,40,5.82
32,Kurilsk,RU,1549041273,45.23,147.88,23.06,100,64,32.79
33,Young,UY,1549041273,-32.7,-57.63,77.15,100,92,7.52
34,Achi,NG,1549041274,5.65,7.65,87.19,56,0,6.29
35,Poum,MK,1549040400,41.28,20.71,46.4,75,75,8.05
36,Stulovo,RU,1549038600,55.85,38.31,24.8,85,90,8.95
37,Pandan,PH,1549041274,11.72,122.09,77.69,100,44,23.17
38,Port Hardy,CA,1549036800,50.7,-127.42,42.8,93,90,4.7
39,Zaria,NG,1549041275,11.11,7.72,78.14,23,0,6.17
40,Castro,CL,1549036800,-42.48,-73.76,62.6,55,0,16.11
41,Mar del Plata,AR,1549041042,-46.43,-67.52,78.01,32,64,15.46
42,Ostrovnoy,RU,1549041276,68.05,39.51,8.12,81,76,7.85
43,Hambantota,LK,1549041276,6.12,81.12,78.68,100,0,14.45
44,Paamiut,GL,1549041277,61.99,-49.67,33.32,89,20,50.91
45,Bluff,AU,1549041277,-23.58,149.07,75.44,69,88,13.67
46,Qaanaaq,GL,1549041277,77.48,-69.36,-15.37,89,0,9.98
47,Vaini,IN,1549041278,15.34,74.49,67.93,72,36,2.04
48,Mahebourg,MU,1549040400,-20.41,57.7,80.6,83,40,14.99
49,Vytegra,RU,1549041278,61.01,36.45,18.61,84,68,3.94
50,Clyde River,CA,1549036800,70.47,-68.59,-9.41,76,75,16.11
51,Axim,GH,1549041279,4.87,-2.24,82.91,98,12,13.44
52,Vila Velha,BR,1549040400,-3.71,-38.6,84.2,79,75,13.87
53,Tasiilaq,GL,1549039800,65.61,-37.64,14.0,56,40,5.82
54,Yevlax,AZ,1549036800,40.61,47.15,37.4,86,75,1.48
55,Neuquen,AR,1549036800,-38.95,-68.06,82.4,17,0,10.29
56,Chuy,UY,1549041280,-33.69,-53.46,85.79,86,64,9.75
57,Punta Arenas,CL,1549036800,-53.16,-70.91,55.4,47,40,12.75
58,Quesnel,CA,1549039740,52.98,-122.49,17.6,85,90,12.75
59,Puerto Ayora,EC,1549036800,-0.74,-90.35,84.2,70,20,13.87
60,Shunyi,CN,1549038600,40.13,116.65,23.0,32,0,2.24
61,New Norfolk,AU,1549038600,-42.78,147.06,53.6,76,20,8.05
62,Khandyga,RU,1549041282,62.65,135.58,-43.77,0,36,2.82
63,Broome,GB,1549040160,52.47,1.45,37.58,92,75,11.41
64,Storforshei,NO,1549039800,66.4,14.52,23.0,53,0,18.34
65,Busselton,AU,1549041283,-33.64,115.35,65.23,100,76,17.36
66,Port Alfred,ZA,1549041284,-33.59,26.89,71.71,84,92,16.46
67,Mount Isa,AU,1549039620,-20.73,139.49,75.2,100,75,14.99
68,Buala,SB,1549041284,-8.15,159.59,78.23,100,76,8.19
69,Contai,IN,1549041284,21.78,87.75,65.59,100,0,5.73
70,Kuryk,KZ,1549041285,43.18,51.68,38.45,94,64,14.12
71,Bayan,MN,1549041285,47.25,107.54,9.65,62,80,7.4
72,Zafarwal,PK,1549040400,32.34,74.9,50.0,71,40,2.71
73,Manggar,ID,1549041286,-2.88,108.27,76.07,100,56,3.71
74,Valleyview,CA,1549041286,55.07,-117.28,-0.07,70,88,11.21
75,Toma,JP,1549041287,43.82,142.6,10.55,67,64,9.86
76,Vila,IT,1549039800,45.18,8.4,33.8,100,90,2.24
77,Jamestown,AU,1549041062,-33.21,138.6,55.82,67,0,4.38
78,Mataura,NZ,1549041288,-46.19,168.86,50.56,79,92,12.44
79,Salalah,OM,1549039800,17.01,54.1,78.8,44,0,4.7
80,Faanui,PF,1549041288,-16.48,-151.75,83.68,99,100,18.37
81,Cururupu,BR,1549041288,-1.82,-44.87,85.07,77,88,6.96
82,Ust-Omchug,RU,1549041289,61.13,149.63,-16.68,65,44,6.96
83,Ponta do Sol,BR,1549041289,-20.63,-46.0,90.2,52,44,4.38
84,Svetlaya,RU,1549041290,46.54,138.33,11.81,100,0,20.71
85,Aykhal,RU,1549041290,65.95,111.51,-46.92,0,36,2.93
86,Diffa,NE,1549041290,13.32,12.61,79.04,22,12,6.51
87,Bambous Virieux,MU,1549040400,-20.34,57.76,80.6,83,40,14.99
88,Sakaiminato,JP,1549040400,35.55,133.23,33.8,69,0,3.36
89,Georgetown,GY,1549036800,6.8,-58.16,75.2,94,90,16.11
90,Nalut,LY,1549041292,31.86,10.98,63.61,41,0,15.68
91,Isangel,VU,1549041292,-19.55,169.27,74.18,100,92,13.56
92,Kaitangata,NZ,1549041292,-46.28,169.85,49.79,82,44,16.02
93,Omboue,GA,1549041293,-1.57,9.26,82.78,100,36,9.75
94,Port Elizabeth,US,1549040400,39.31,-74.98,17.6,80,90,8.05
95,Airai,TL,1549041293,-8.93,125.41,69.64,94,56,2.04
96,Upernavik,GL,1549041294,72.79,-56.15,-2.23,100,0,10.98
97,Klaksvik,FO,1549039800,62.23,-6.59,33.8,69,76,17.22
98,San Carlos de Bariloche,AR,1549040400,-41.13,-71.31,77.0,16,0,11.41
99,Tocopilla,CL,1549041295,-22.09,-70.2,74.18,75,8,5.61
100,Visavadar,IN,1549041295,21.34,70.75,63.38,34,0,11.65
101,Nuevo Progreso,US,1549039980,26.05,-97.95,62.06,93,90,3.36
102,Caravelas,BR,1549041153,-17.73,-39.27,82.28,100,0,11.65
103,Butaritari,KI,1549041296,3.07,172.79,82.51,100,56,17.13
