,City,Country,Date,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed
0,Rikitea,PF,1549068659,-23.12,-134.97,81.47,99,48,8.1
1,Ushuaia,AR,1549066500,-54.81,-68.31,50.0,53,90,25.28
2,Yumen,CN,1549068659,40.29,97.04,12.12,77,36,14.14
3,Busselton,AU,1549068659,-33.64,115.35,65.54,100,32,16.26
4,Tommot,RU,1549068660,58.97,126.27,-36.93,68,32,2.51
5,Albany,US,1549066620,42.65,-73.75,12.92,48,1,3.36
6,Tautira,PF,1549067400,-17.73,-149.15,86.0,70,75,18.34
7,Geraldton,CA,1549065600,49.72,-86.95,6.8,77,90,11.41
8,Saskylakh,RU,1549068661,71.97,114.09,-30.41,51,24,9.78
9,Jamestown,AU,1549068390,-33.21,138.6,78.5,36,0,5.64
10,Mar del Plata,AR,1549068662,-46.43,-67.52,69.23,43,20,13.47
11,Prainha,BR,1549068662,-1.8,-53.48,80.88,80,20,4.74
12,Hobart,AU,1549067400,-42.88,147.33,71.6,40,20,8.05
13,San Miguel,AR,1549065600,-34.54,-58.72,82.4,83,0,4.7
14,Barcelos,PT,1549065600,41.53,-8.62,48.2,87,40,13.87
15,Upernavik,GL,1549068665,72.79,-56.15,0.15,100,0,15.03
16,Alice Springs,AU,1549065600,-23.7,133.88,84.2,42,0,17.22
17,East London,ZA,1549068665,-33.02,27.91,71.93,100,88,15.26
18,Shangrao,CN,1549068666,28.45,117.97,36.83,82,0,2.62
19,Victoria,BN,1549067400,5.28,115.24,82.4,88,75,4.7
20,Thompson,CA,1549065600,55.74,-97.86,-16.61,68,40,6.93
21,Arcata,US,1549067700,40.87,-124.08,51.98,100,75,12.75
22,Ramnagar,IN,1549068667,27.17,84.33,47.54,87,0,2.73
23,Baykit,RU,1549068668,61.68,96.39,-36.3,67,32,2.73
24,Port Alfred,ZA,1549068668,-33.59,26.89,71.12,87,92,16.26
25,Wendo,ET,1549068669,6.6,38.42,49.47,44,8,3.18
26,Bethel,US,1549067520,60.79,-161.76,23.0,92,90,10.29
27,Norman Wells,CA,1549065600,65.28,-126.83,-18.41,75,20,5.82
28,Jales,BR,1549068670,-20.27,-50.55,79.8,69,24,4.74
29,Qaanaaq,GL,1549068670,77.48,-69.36,-15.56,90,0,10.22
30,Brigantine,US,1549066200,39.41,-74.36,21.02,80,90,5.82
31,Shahreza,IR,1549068671,32.01,51.87,14.55,63,8,3.4
32,Kaitangata,NZ,1549068671,-46.28,169.85,59.87,60,20,17.94
33,Kapaa,US,1549065900,22.08,-159.32,77.0,73,75,17.22
34,Laguna,MX,1549064700,27.52,-110.01,69.8,68,75,3.36
35,Pombas,BR,1549068672,-15.9,-54.74,81.65,72,36,3.18
36,Cape Town,ZA,1549065600,-33.93,18.42,71.6,68,0,9.17
37,Yershichi,RU,1549068672,53.67,32.75,31.88,98,92,8.99
38,Mazagao,BR,1549068673,-0.12,-51.29,77.78,97,76,9.55
39,Punta Arenas,CL,1549065600,-53.16,-70.91,51.8,57,75,6.93
40,Avarua,CK,1549065600,-21.21,-159.78,86.0,74,20,4.7
41,Mataura,NZ,1549068674,-46.19,168.86,60.18,58,48,15.82
42,Lebu,ET,1549065600,8.96,38.73,51.8,29,12,4.7
43,Hermanus,ZA,1549068674,-34.42,19.24,63.78,88,0,6.98
44,Husavik,CA,1549068674,50.56,-96.99,2.58,84,92,13.35
45,Saint-Philippe,CA,1549067700,45.36,-73.48,10.4,49,1,11.45
46,Nikolskoye,RU,1549067400,59.7,30.79,24.8,92,90,8.95
47,Mae Hong Son,MM,1549065600,19.3,97.96,62.6,100,90,1.39
48,Sing Buri,TH,1549068676,14.89,100.4,69.45,65,0,5.41
49,Coracora,PE,1549068676,-15.02,-73.78,45.11,89,56,2.51
50,Praia da Vitoria,PT,1549065600,38.73,-27.07,59.0,82,20,12.8
51,Puerto Ayora,EC,1549065600,-0.74,-90.35,82.4,74,40,12.75
52,Grand-Santi,GF,1549068677,4.27,-54.38,74.58,90,44,3.74
53,Pallasovka,RU,1549068677,50.04,46.89,13.65,88,88,5.64
54,Honiara,SB,1549068677,-9.43,159.96,81.15,88,24,2.39
55,Yellowknife,CA,1549065600,62.45,-114.38,-27.41,67,20,6.93
56,Bluff,AU,1549068679,-23.58,149.07,79.85,61,88,17.38
57,Yermakovskoye,RU,1549068679,53.28,92.4,-21.32,61,20,3.06
58,Larsnes,NO,1549066800,62.2,5.58,35.6,51,36,2.24
59,Lorengau,PG,1549068680,-2.02,147.27,80.75,100,68,12.01
60,Mihaileni,RO,1549065600,47.97,26.15,32.0,100,0,2.24
61,Kavaratti,IN,1549068680,10.57,72.64,82.82,100,0,8.55
62,Praia,BR,1549065600,-20.25,-43.81,78.8,50,0,5.82
63,Pangoa,PE,1549068681,-12.12,-73.0,67.07,100,76,1.61
64,Cabo San Lucas,MX,1549064760,22.89,-109.91,75.2,64,40,6.93
65,Khatanga,RU,1549068682,71.98,102.47,-23.3,71,64,10.78
66,Santa Rosalia,IT,1549066800,38.07,13.27,64.4,42,0,21.92
67,Westport,IE,1549068683,53.8,-9.52,35.3,100,80,9.44
68,Arraial do Cabo,BR,1549068683,-22.97,-42.02,79.13,82,0,18.95
69,Barrow,AR,1549068684,-38.31,-60.23,63.87,61,0,7.09
70,Rocha,UY,1549068546,-34.48,-54.34,70.49,97,80,5.08
